Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,Shots,Shooting Percentage,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Shots/GP,Goals Created,Goals Created/GP,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES GF,ES GA,ES GF%,ES Team GF,ES Team GA,ES GF%Rel,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60,ES eGoals Created/60,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP,Age Adjusted G,Age Adjusted 1A,Age Adjusted 2A,Age Adjusted Primary Points,Age Adjusted Points,Age Adjusted G/GP,Age Adjusted 1A/GP,Age Adjusted 2A/GP,Age Adjusted Primary Points/GP,Age Adjusted Points/GP,Era Adjusted G,Era Adjusted 1A,Era Adjusted 2A,Era Adjusted Primary Points,Era Adjusted Points,Era Adjusted G/GP,Era Adjusted 1A/GP,Era Adjusted 2A/GP,Era Adjusted Primary Points/GP,Era Adjusted Points/GP,ES Age Adjusted G,ES Age Adjusted 1A,ES Age Adjusted 2A,ES Age Adjusted Primary Points,ES Age Adjusted Points,ES Age Adjusted G/GP,ES Age Adjusted 1A/GP,ES Age Adjusted 2A/GP,ES Age Adjusted Primary Points/GP,ES Age Adjusted Points/GP,ES Age Adjusted G/60,ES Age Adjusted 1A/60,ES Age Adjusted 2A/60,ES Age Adjusted Primary Points/60,ES Age Adjusted Points/60,ES Era Adjusted G,ES Era Adjusted 1A,ES Era Adjusted 2A,ES Era Adjusted Primary Points,ES Era Adjusted Points,ES Era Adjusted G/GP,ES Era Adjusted 1A/GP,ES Era Adjusted 2A/GP,ES Era Adjusted Primary Points/GP,ES Era Adjusted Points/GP,ES Era Adjusted G/60,ES Era Adjusted 1A/60,ES Era Adjusted 2A/60,ES Era Adjusted Primary Points/60,ES Era Adjusted Points/60,Age and Era Adjusted G,Age and Era Adjusted 1A,Age and Era Adjusted 2A,Age and Era Adjusted Primary Points,Age and Era Adjusted Points,Age and Era Adjusted G/GP,Age and Era Adjusted 1A/GP,Age and Era Adjusted 2A/GP,Age and Era Adjusted Primary Points/GP,Age and Era Adjusted Points/GP,ES Age and Era Adjusted G,ES Age and Era Adjusted 1A,ES Age and Era Adjusted 2A,ES Age and Era Adjusted Primary Points,ES Age and Era Adjusted Points,ES Age and Era Adjusted G/GP,ES Age and Era Adjusted 1A/GP,ES Age and Era Adjusted 2A/GP,ES Age and Era Adjusted Primary Points/GP,ES Age and Era Adjusted Points/GP,ES Age and Era Adjusted G/60,ES Age and Era Adjusted 1A/60,ES Age and Era Adjusted 2A/60,ES Age and Era Adjusted Primary Points/60,ES Age and Era Adjusted Points/60,ES IPP
Riley Tufte,26,LW,L,6'05,205,17.433,2016,Fargo Force,22,8,0,2,8,10,64,12.5,-6,22,0,0,0,0.364,0,0.091,0.364,0.455,2.909,4.4,0.2,2,0,1,2,3,0.091,0,0.045,0.091,0.136,1.2,0.055,3,9,25,36,32,-33.929,9.934,0.549,0,0.275,0.549,0.824,0.329,6,0,1,6,7,0.273,0,0.045,0.273,0.318,3.2,0.145,8.095,0,2.023,8.095,10.118,0.368,0,0.092,0.368,0.46,8.337,0,2.08,8.337,10.417,0.379,0,0.095,0.379,0.473,2.021,0,1.01,2.021,3.031,0.092,0,0.046,0.092,0.138,0.555,0,0.277,0.555,0.832,2.14,0,1.07,2.14,3.21,0.097,0,0.049,0.097,0.146,0.587,0,0.294,0.587,0.881,8.436,0,2.105,8.436,10.541,0.383,0,0.096,0.383,0.479,2.162,0,1.081,2.162,3.243,0.098,0,0.049,0.098,0.147,0.594,0,0.297,0.594,0.89,100
Zach Yon,16,LW,L,6'00,180,19.71,2014,Waterloo Black Hawks,54,22,8,3,30,33,167,13.174,6,14,0,0,0,0.407,0.148,0.056,0.556,0.611,3.093,14.6,0.27,16,7,1,23,24,0.296,0.13,0.019,0.426,0.444,10.9,0.202,32,23,58.182,104,110,12.899,12.519,1.42,0.621,0.089,2.041,2.13,0.967,6,1,2,7,9,0.111,0.019,0.037,0.13,0.167,3.7,0.069,13.395,4.99,1.838,18.386,20.223,0.248,0.092,0.034,0.34,0.374,23.046,8.339,3.122,31.385,34.507,0.427,0.154,0.058,0.581,0.639,10.432,4.659,0.658,15.092,15.75,0.193,0.086,0.012,0.279,0.292,0.926,0.414,0.058,1.339,1.398,17.239,7.51,1.07,24.749,25.819,0.319,0.139,0.02,0.458,0.478,1.53,0.667,0.095,2.197,2.292,14.001,5.185,1.909,19.186,21.095,0.259,0.096,0.035,0.355,0.391,11.295,5.029,0.708,16.324,17.032,0.209,0.093,0.013,0.302,0.315,1.002,0.446,0.063,1.449,1.512,75
Michael Boyle,10,RD,R,6'02,208,17.997,2016,Sioux City Musketeers,41,1,0,4,1,5,22,4.545,-7,27,0,0,0,0.024,0,0.098,0.024,0.122,0.537,1.3,0.032,1,0,2,1,3,0.024,0,0.049,0.024,0.073,0.9,0.022,11,18,37.931,78,103,-6.148,9.981,0.147,0,0.293,0.147,0.44,0.132,0,0,1,0,1,0,0,0.024,0,0.024,0.2,0.005,0.912,0,3.651,0.912,4.563,0.022,0,0.089,0.022,0.111,1.039,0,4.165,1.039,5.204,0.025,0,0.102,0.025,0.127,0.922,0,1.846,0.922,2.768,0.022,0,0.045,0.022,0.068,0.135,0,0.271,0.135,0.406,1.069,0,2.141,1.069,3.21,0.026,0,0.052,0.026,0.078,0.157,0,0.314,0.157,0.471,0.947,0,3.801,0.947,4.748,0.023,0,0.093,0.023,0.116,0.986,0,1.978,0.986,2.964,0.024,0,0.048,0.024,0.072,0.145,0,0.29,0.145,0.435,27.273
Simon Butala,19,LD,L,6'01,190,17.123,2016,Cedar Rapids RoughRiders,2,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,-87.5,7.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Dittenhafer,5,RD,R,6'01,193,18.427,2015,Sioux City Musketeers,4,0,1,0,1,1,2,0,-2,2,0,0,0,0,0.25,0,0.25,0.25,0.5,0.3,0.075,0,1,0,1,1,0,0.25,0,0.25,0.25,0.3,0.075,2,4,33.333,4,11,11.111,16.981,0,0.883,0,0.883,0.883,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0.842,0.842,0,0.211,0,0.21,0.21,0,1.039,0,1.039,1.039,0,0.26,0,0.26,0.26,0,0.86,0,0.86,0.86,0,0.215,0,0.215,0.215,0,0.759,0,0.759,0.759,0,1.069,0,1.069,1.069,0,0.267,0,0.267,0.267,0,0.944,0,0.944,0.944,0,0.874,0,0.874,0.874,0,0.219,0,0.219,0.219,0,0.921,0,0.921,0.921,0,0.23,0,0.23,0.23,0,0.813,0,0.813,0.813,50
CJ Dodero,14,LW,L,6'03,195,17.712,2016,Sioux City Musketeers,51,9,4,6,13,19,100,9,-9,38,0,0,0,0.176,0.078,0.118,0.255,0.373,1.961,7.5,0.147,8,3,5,11,16,0.157,0.059,0.098,0.216,0.314,6.5,0.127,23,33,41.071,84,124,0.939,13.371,0.704,0.264,0.44,0.968,1.408,0.572,1,1,1,2,3,0.02,0.02,0.02,0.039,0.059,1,0.02,8.662,3.856,5.777,12.518,18.295,0.17,0.076,0.113,0.245,0.359,9.383,4.163,6.254,13.546,19.8,0.184,0.082,0.123,0.266,0.388,7.733,2.904,4.836,10.637,15.473,0.152,0.057,0.095,0.209,0.303,0.68,0.255,0.425,0.936,1.361,8.584,3.211,5.364,11.795,17.159,0.168,0.063,0.105,0.231,0.336,0.755,0.283,0.472,1.038,1.51,9.03,4.012,6.021,13.042,19.063,0.177,0.079,0.118,0.256,0.374,8.3,3.109,5.19,11.409,16.599,0.163,0.061,0.102,0.224,0.325,0.73,0.274,0.457,1.004,1.46,69.565
Garrett Klee,15,C,L,6'00,165,17.43,2016,Madison Capitols,40,1,1,0,2,2,43,2.326,-3,27,0,0,0,0.025,0.025,0,0.05,0.05,1.075,0.8,0.02,1,1,0,2,2,0.025,0.025,0,0.05,0.05,0.8,0.02,10,15,40,100,83,-16.962,9.102,0.165,0.165,0,0.33,0.33,0.132,0,0,0,0,0,0,0,0,0,0,0,0,1.012,1.012,0,2.024,2.024,0.025,0.025,0,0.051,0.051,1.039,1.039,0,2.078,2.078,0.026,0.026,0,0.052,0.052,1.011,1.011,0,2.022,2.022,0.025,0.025,0,0.051,0.051,0.167,0.167,0,0.333,0.333,1.069,1.069,0,2.138,2.138,0.027,0.027,0,0.053,0.053,0.176,0.176,0,0.352,0.352,1.052,1.051,0,2.103,2.103,0.026,0.026,0,0.053,0.053,1.081,1.08,0,2.161,2.161,0.027,0.027,0,0.054,0.054,0.178,0.178,0,0.356,0.356,20
Guillaume Leclerc,22,LW,L,5'08,176,19.567,2014,Madison Capitols,50,12,8,7,20,27,92,13.043,-5,72,0,0,0,0.24,0.16,0.14,0.4,0.54,1.84,11.1,0.222,11,7,4,18,22,0.22,0.14,0.08,0.36,0.44,9.7,0.194,38,38,50,119,112,-2.258,14.907,0.886,0.564,0.322,1.449,1.771,0.781,1,1,3,2,5,0.02,0.02,0.06,0.04,0.1,1.4,0.028,7.61,5.185,4.463,12.795,17.259,0.152,0.104,0.089,0.256,0.345,12.524,8.339,7.3,20.863,28.163,0.25,0.167,0.146,0.417,0.563,7.42,4.811,2.722,12.231,14.952,0.148,0.096,0.054,0.245,0.299,0.597,0.387,0.219,0.985,1.204,11.822,7.51,4.288,19.332,23.62,0.236,0.15,0.086,0.387,0.472,0.952,0.605,0.345,1.557,1.902,7.927,5.389,4.647,13.316,17.963,0.159,0.108,0.093,0.266,0.359,8.009,5.189,2.932,13.199,16.131,0.16,0.104,0.059,0.264,0.323,0.645,0.418,0.236,1.062,1.299,57.895
Robby Fosdick,3,RD,R,5'11,171,19.063,2014,Madison Capitols,47,0,2,0,2,2,10,0,2,37,0,0,0,0,0.043,0,0.043,0.043,0.213,0.6,0.013,0,2,0,2,2,0,0.043,0,0.043,0.043,0.6,0.013,27,27,50,111,96,-4.902,12.789,0,0.2,0,0.2,0.2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468,0,1.468,1.468,0,0.031,0,0.031,0.031,0,2.08,0,2.08,2.08,0,0.044,0,0.044,0.044,0,1.527,0,1.527,1.527,0,0.032,0,0.032,0.032,0,0.152,0,0.152,0.152,0,2.14,0,2.14,2.14,0,0.046,0,0.046,0.046,0,0.214,0,0.214,0.214,0,1.524,0,1.524,1.524,0,0.032,0,0.032,0.032,0,1.64,0,1.64,1.64,0,0.035,0,0.035,0.035,0,0.164,0,0.164,0.164,7.407
Charlie Gerard,23,C,R,5'09,185,19.822,2014,Muskegon Lumberjacks,56,15,8,5,23,28,168,8.929,-1,34,0,0,0,0.268,0.143,0.089,0.411,0.5,3,12.5,0.223,12,7,5,19,24,0.214,0.125,0.089,0.339,0.429,10.7,0.191,33,31,51.563,115,121,3.889,13.021,0.987,0.576,0.411,1.563,1.975,0.88,3,1,0,4,4,0.054,0.018,0,0.071,0.071,1.8,0.032,8.836,4.838,2.964,13.674,16.638,0.158,0.086,0.053,0.244,0.297,15.672,8.339,5.209,24.011,29.22,0.28,0.149,0.093,0.429,0.522,7.613,4.541,3.205,12.154,15.358,0.136,0.081,0.057,0.217,0.274,0.626,0.374,0.264,1,1.264,12.903,7.51,5.364,20.413,25.777,0.23,0.134,0.096,0.365,0.46,1.062,0.618,0.441,1.68,2.121,9.21,5.025,3.082,14.235,17.317,0.164,0.09,0.055,0.254,0.309,8.228,4.903,3.459,13.131,16.59,0.147,0.088,0.062,0.234,0.296,0.677,0.403,0.285,1.081,1.365,72.727
