Name,Number,Position,Shoots,Height,Weight,Age,Draft Year,Team,GP,G,1A,2A,Primary Points,Points,Shots,Shooting Percentage,+/-,PIM,Face-offs Won,Face-offs Taken,Face-off Win%,G/GP,1A/GP,2A/GP,Primary Points/GP,Points/GP,Shots/GP,Goals Created,Goals Created/GP,ES G,ES 1A,ES 2A,ES Primary Points,ES Points,ES G/GP,ES 1A/GP,ES 2A/GP,ES Primary Points/GP,ES Points/GP,ES Goals Created,ES Goals Created/GP,ES GF,ES GA,ES GF%,ES Team GF,ES Team GA,ES GF%Rel,ES eTOI,ES eG/60,ES e1A/60,ES e2A/60,ES ePrimary Points/60,ES ePoints/60,ES eGoals Created/60,PP G,PP 1A,PP 2A,PP Primary Points,PP Points,PP G/GP,PP 1A/GP,PP 2A/GP,PP Primary Points/GP,PP Points/GP,PP Goals Created,PP Goals Created/GP,Age Adjusted G,Age Adjusted 1A,Age Adjusted 2A,Age Adjusted Primary Points,Age Adjusted Points,Age Adjusted G/GP,Age Adjusted 1A/GP,Age Adjusted 2A/GP,Age Adjusted Primary Points/GP,Age Adjusted Points/GP,Era Adjusted G,Era Adjusted 1A,Era Adjusted 2A,Era Adjusted Primary Points,Era Adjusted Points,Era Adjusted G/GP,Era Adjusted 1A/GP,Era Adjusted 2A/GP,Era Adjusted Primary Points/GP,Era Adjusted Points/GP,ES Age Adjusted G,ES Age Adjusted 1A,ES Age Adjusted 2A,ES Age Adjusted Primary Points,ES Age Adjusted Points,ES Age Adjusted G/GP,ES Age Adjusted 1A/GP,ES Age Adjusted 2A/GP,ES Age Adjusted Primary Points/GP,ES Age Adjusted Points/GP,ES Age Adjusted G/60,ES Age Adjusted 1A/60,ES Age Adjusted 2A/60,ES Age Adjusted Primary Points/60,ES Age Adjusted Points/60,ES Era Adjusted G,ES Era Adjusted 1A,ES Era Adjusted 2A,ES Era Adjusted Primary Points,ES Era Adjusted Points,ES Era Adjusted G/GP,ES Era Adjusted 1A/GP,ES Era Adjusted 2A/GP,ES Era Adjusted Primary Points/GP,ES Era Adjusted Points/GP,ES Era Adjusted G/60,ES Era Adjusted 1A/60,ES Era Adjusted 2A/60,ES Era Adjusted Primary Points/60,ES Era Adjusted Points/60,Age and Era Adjusted G,Age and Era Adjusted 1A,Age and Era Adjusted 2A,Age and Era Adjusted Primary Points,Age and Era Adjusted Points,Age and Era Adjusted G/GP,Age and Era Adjusted 1A/GP,Age and Era Adjusted 2A/GP,Age and Era Adjusted Primary Points/GP,Age and Era Adjusted Points/GP,ES Age and Era Adjusted G,ES Age and Era Adjusted 1A,ES Age and Era Adjusted 2A,ES Age and Era Adjusted Primary Points,ES Age and Era Adjusted Points,ES Age and Era Adjusted G/GP,ES Age and Era Adjusted 1A/GP,ES Age and Era Adjusted 2A/GP,ES Age and Era Adjusted Primary Points/GP,ES Age and Era Adjusted Points/GP,ES Age and Era Adjusted G/60,ES Age and Era Adjusted 1A/60,ES Age and Era Adjusted 2A/60,ES Age and Era Adjusted Primary Points/60,ES Age and Era Adjusted Points/60,ES IPP
Reilly Walsh,13,D,R,5'11,180,16.403,2017,Tri-City Storm,2,1,0,1,1,2,4,25,-1,0,0,0,0,0.5,0,0.5,0.5,1,2,0.7,0.35,1,0,1,1,2,0.5,0,0.5,0.5,1,0.7,0.35,2,3,40,9,4,-47.5,16.663,1.8,0,1.8,1.8,3.601,1.26,0,0,0,0,0,0,0,0,0,0,0,0,1.194,0,1.192,1.194,2.386,0.597,0,0.596,0.597,1.193,1.039,0,1.04,1.039,2.079,0.519,0,0.52,0.519,1.039,1.173,0,1.17,1.173,2.342,0.586,0,0.585,0.587,1.171,2.111,0,2.106,2.111,4.217,1.069,0,1.07,1.069,2.139,0.534,0,0.535,0.534,1.07,1.925,0,1.926,1.925,3.851,1.241,0,1.241,1.241,2.482,0.621,0,0.62,0.621,1.241,1.252,0,1.25,1.252,2.502,0.626,0,0.625,0.626,1.251,2.254,0,2.25,2.254,4.504,100
Chris Allemon,21,LD,L,5'09,193,19.364,2014,Des Moines Buccaneers,51,2,5,3,7,10,71,2.817,-13,89,0,0,0,0.039,0.098,0.059,0.137,0.196,1.392,3.1,0.061,2,3,3,5,8,0.039,0.059,0.059,0.098,0.157,2.5,0.049,28,41,40.58,105,128,-6.371,13.843,0.17,0.255,0.255,0.425,0.68,0.212,0,2,0,2,2,0,0.039,0,0.039,0.039,0.6,0.012,1.34,3.413,2.02,4.754,6.773,0.026,0.067,0.04,0.093,0.133,2.08,5.206,3.122,7.286,10.408,0.041,0.102,0.061,0.143,0.204,1.413,2.154,2.135,3.567,5.702,0.028,0.042,0.042,0.07,0.112,0.12,0.183,0.181,0.303,0.485,2.14,3.211,3.213,5.351,8.564,0.042,0.063,0.063,0.105,0.168,0.182,0.273,0.273,0.455,0.728,1.391,3.545,2.099,4.937,7.035,0.027,0.07,0.041,0.097,0.138,1.518,2.316,2.297,3.834,6.131,0.03,0.045,0.045,0.075,0.12,0.129,0.197,0.195,0.326,0.521,28.571
Gianni Brandi,16,C,L,5'08,176,19.816,2014,Des Moines Buccaneers,9,0,0,0,0,0,7,0,-4,2,0,0,0,0,0,0,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16.667,17,19,-36.666,9.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christiano Versich,11,RW,R,5'07,157,18.701,2015,Chicago Steel,50,8,9,8,17,25,63,12.698,-5,24,0,0,0,0.16,0.18,0.16,0.34,0.5,1.26,9,0.18,4,7,6,11,17,0.08,0.14,0.12,0.22,0.34,5.5,0.11,32,36,47.059,95,107,0.044,14.993,0.32,0.56,0.48,0.88,1.361,0.44,4,2,2,6,8,0.08,0.04,0.04,0.12,0.16,3.5,0.07,6.3,7.16,6.315,13.46,19.775,0.126,0.143,0.126,0.269,0.395,8.337,9.385,8.347,17.722,26.069,0.167,0.188,0.167,0.354,0.521,3.244,5.728,4.886,8.972,13.857,0.065,0.115,0.098,0.179,0.277,0.26,0.458,0.391,0.718,1.109,4.284,7.51,6.442,11.794,18.236,0.086,0.15,0.129,0.236,0.365,0.343,0.601,0.516,0.944,1.46,6.559,7.456,6.584,14.015,20.599,0.131,0.149,0.132,0.28,0.412,3.481,6.162,5.259,9.643,14.901,0.07,0.123,0.105,0.193,0.298,0.279,0.493,0.421,0.772,1.193,53.125
Max Zimmer,6,LW,L,6'00,185,17.879,2016,Chicago Steel,49,11,13,2,24,26,124,8.871,-7,14,0,0,0,0.224,0.265,0.041,0.49,0.531,2.531,10.9,0.222,10,7,2,17,19,0.204,0.143,0.041,0.347,0.388,8.6,0.176,24,32,42.857,93,100,-7.508,13.672,0.896,0.627,0.179,1.523,1.702,0.77,1,6,0,7,7,0.02,0.122,0,0.143,0.143,2.3,0.047,10.262,12.161,1.867,22.423,24.291,0.209,0.248,0.038,0.458,0.496,11.476,13.578,2.08,25.054,27.134,0.234,0.277,0.042,0.511,0.554,9.403,6.599,1.883,16.002,17.885,0.192,0.135,0.038,0.327,0.365,0.842,0.591,0.169,1.433,1.602,10.741,7.51,2.141,18.251,20.392,0.219,0.153,0.044,0.372,0.416,0.962,0.673,0.192,1.635,1.827,10.704,12.697,1.941,23.401,25.342,0.218,0.259,0.04,0.478,0.517,10.106,7.084,2.017,17.19,19.207,0.206,0.145,0.041,0.351,0.392,0.905,0.635,0.181,1.54,1.72,79.167
Billy Jerry,27,C,R,6'3,187,17.704,2016,Madison Capitols,5,1,1,0,2,2,4,25,2,2,0,0,0,0.2,0.2,0,0.4,0.4,0.8,1.3,0.26,1,1,0,2,2,0.2,0.2,0,0.4,0.4,1.3,0.26,4,2,66.667,13,10,13.726,13.29,0.903,0.903,0,1.806,1.806,1.174,0,0,0,0,0,0,0,0,0,0,0,0,0.964,0.965,0,1.929,1.929,0.193,0.193,0,0.386,0.386,1.039,1.039,0,2.078,2.078,0.208,0.208,0,0.416,0.416,0.968,0.969,0,1.937,1.937,0.194,0.194,0,0.387,0.387,0.874,0.875,0,1.749,1.749,1.069,1.069,0,2.138,2.138,0.214,0.214,0,0.428,0.428,0.965,0.965,0,1.93,1.93,1.001,1.003,0,2.004,2.004,0.2,0.201,0,0.401,0.401,1.035,1.036,0,2.071,2.071,0.207,0.207,0,0.414,0.414,0.934,0.936,0,1.87,1.87,50
Ash Altmann,21,LW,L,6'02,175,17.299,2016,Chicago Steel,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,-20,7.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sandelin,22,C,R,6'00,185,16.699,2017,Sioux City Musketeers,3,0,0,0,0,0,4,0,-2,0,0,0,0,0,0,0,0,0,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,10,-27.273,9.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brendan Demler,14,LD,L,6'02,181,18.077,2015,Des Moines Buccaneers,51,0,1,8,1,9,33,0,-7,41,0,0,0,0,0.02,0.157,0.02,0.176,0.647,1.9,0.037,0,1,7,1,8,0,0.02,0.137,0.02,0.157,1.7,0.033,30,38,44.118,108,128,-2.311,13.591,0,0.087,0.606,0.087,0.692,0.147,0,0,1,0,1,0,0,0.02,0,0.02,0.2,0.004,0,0.902,7.191,0.902,8.092,0,0.018,0.141,0.018,0.159,0,1.039,8.347,1.039,9.386,0,0.02,0.164,0.02,0.184,0,0.913,6.375,0.913,7.288,0,0.018,0.125,0.018,0.143,0,0.079,0.552,0.079,0.631,0,1.069,7.521,1.069,8.59,0,0.021,0.147,0.021,0.168,0,0.093,0.651,0.093,0.744,0,0.936,7.5,0.936,8.436,0,0.018,0.147,0.018,0.165,0,0.977,6.857,0.977,7.834,0,0.019,0.134,0.019,0.154,0,0.085,0.594,0.085,0.678,26.667
Carter Ekberg,15,RD,R,6'01,186,18.337,2015,Youngstown Phantoms,9,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40,15,17,-8.148,9.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chayse Primeau,14,RW,L,6'03,170,18,2015,Lincoln Stars,4,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.333,8,10,-13.334,10.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Gresock,84,C,R,6'00,180,17.09,2016,Youngstown Phantoms,4,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.25,0,0.25,0.25,0.2,0.05,0,0,1,0,1,0,0,0.25,0,0.25,0.2,0.05,2,1,66.667,12,14,23.189,8.223,0,0,1.824,0,1.824,0.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,0,1.072,0,0,0.268,0,0.268,0,0,1.04,0,1.04,0,0,0.26,0,0.26,0,0,1.063,0,1.063,0,0,0.266,0,0.266,0,0,1.94,0,1.94,0,0,1.07,0,1.07,0,0,0.268,0,0.268,0,0,1.952,0,1.952,0,0,1.115,0,1.115,0,0,0.279,0,0.279,0,0,1.137,0,1.137,0,0,0.284,0,0.284,0,0,2.074,0,2.074,50
Mac Welsher,17,C,L,5'08,164,16.395,2017,Sioux City Musketeers,3,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,-25,10.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Agriogianis,28,RW,R,5'09,165,16.688,2017,Team USA,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,9,4,33.333,7.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Gratton,59,RW,L,6'00,175,16.11,2017,Chicago Steel,6,0,1,0,1,1,4,0,2,4,0,0,0,0,0.167,0,0.167,0.167,0.667,0.3,0.05,0,1,0,1,1,0,0.167,0,0.167,0.167,0.3,0.05,3,1,75,20,22,30.263,7.857,0,1.273,0,1.273,1.273,0.382,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237,0,1.237,1.237,0,0.206,0,0.206,0.206,0,1.039,0,1.039,1.039,0,0.173,0,0.173,0.173,0,1.21,0,1.21,1.21,0,0.202,0,0.202,0.202,0,1.54,0,1.54,1.54,0,1.069,0,1.069,1.069,0,0.178,0,0.178,0.178,0,1.361,0,1.361,1.361,0,1.286,0,1.286,1.286,0,0.214,0,0.214,0.214,0,1.291,0,1.291,1.291,0,0.215,0,0.215,0.215,0,1.643,0,1.643,1.643,33.333
Sean Harrison,11,RW,R,5'10,168,19.299,2014,Bloomington Thunder,49,7,1,3,8,11,39,17.949,-5,4,0,0,0,0.143,0.02,0.061,0.163,0.224,0.796,4.4,0.09,7,1,3,8,11,0.143,0.02,0.061,0.163,0.224,4.4,0.09,18,23,43.902,92,95,-6.783,11.519,0.744,0.106,0.319,0.85,1.169,0.468,0,0,0,0,0,0,0,0,0,0,0,0,4.771,0.694,2.054,5.465,7.519,0.097,0.014,0.042,0.112,0.153,7.292,1.039,3.122,8.331,11.453,0.149,0.021,0.064,0.17,0.234,5.017,0.728,2.166,5.745,7.911,0.102,0.015,0.044,0.117,0.161,0.533,0.077,0.23,0.611,0.841,7.508,1.069,3.213,8.577,11.79,0.153,0.022,0.066,0.175,0.241,0.798,0.114,0.342,0.912,1.254,4.962,0.719,2.134,5.682,7.816,0.101,0.015,0.044,0.116,0.16,5.401,0.781,2.329,6.182,8.511,0.11,0.016,0.048,0.126,0.174,0.574,0.083,0.248,0.657,0.905,61.111
Will Harrison,26,C,R,5'11,200,19.688,2014,Des Moines Buccaneers,43,2,3,5,5,10,50,4,-12,8,0,0,0,0.047,0.07,0.116,0.116,0.233,1.163,2.9,0.067,2,3,5,5,10,0.047,0.07,0.116,0.116,0.233,2.9,0.067,13,25,34.211,83,106,-12.147,11.031,0.253,0.379,0.632,0.632,1.265,0.367,0,0,0,0,0,0,0,0,0,0,0,0,1.226,1.883,3.082,3.108,6.19,0.029,0.044,0.072,0.072,0.144,2.08,3.121,5.209,5.201,10.41,0.048,0.073,0.121,0.121,0.242,1.311,2.007,3.308,3.318,6.626,0.03,0.047,0.077,0.077,0.154,0.166,0.254,0.418,0.42,0.838,2.14,3.211,5.364,5.351,10.715,0.05,0.075,0.125,0.124,0.249,0.271,0.406,0.679,0.677,1.356,1.272,1.952,3.205,3.224,6.429,0.03,0.045,0.075,0.075,0.15,1.409,2.161,3.569,3.57,7.139,0.033,0.05,0.083,0.083,0.166,0.178,0.273,0.451,0.452,0.903,76.923
Blake Gober,23,RW,R,5'09,178,20.658,2013,Bloomington Thunder,44,11,7,4,18,22,103,10.68,0,64,0,0,0,0.25,0.159,0.091,0.409,0.5,2.341,8.4,0.191,7,6,3,13,16,0.159,0.136,0.068,0.295,0.364,5.9,0.134,22,22,50,74,79,2.294,13.573,0.703,0.603,0.301,1.306,1.607,0.593,3,0,1,3,4,0.068,0,0.023,0.068,0.091,1.7,0.039,4.852,3.237,1.785,8.089,9.875,0.11,0.074,0.041,0.184,0.224,11.476,7.294,4.165,18.77,22.935,0.261,0.166,0.095,0.427,0.521,3.519,3.133,1.535,6.653,8.188,0.08,0.071,0.035,0.151,0.186,0.354,0.315,0.154,0.668,0.823,7.508,6.433,3.213,13.941,17.154,0.171,0.146,0.073,0.317,0.39,0.754,0.646,0.323,1.4,1.723,5.04,3.352,1.852,8.392,10.244,0.115,0.076,0.042,0.191,0.233,3.809,3.396,1.661,7.204,8.866,0.087,0.077,0.038,0.164,0.201,0.383,0.341,0.167,0.724,0.891,72.727
Matt Foley,5,RD,R,6'01,192,20.405,2013,Bloomington Thunder,42,0,4,4,4,8,33,0,0,14,0,0,0,0,0.095,0.095,0.095,0.19,0.786,2,0.048,0,4,3,4,7,0,0.095,0.071,0.095,0.167,1.8,0.043,26,25,50.98,77,87,5.847,14.47,0,0.395,0.296,0.395,0.691,0.178,0,0,1,0,1,0,0,0.024,0,0.024,0.2,0.005,0,2.022,1.963,2.022,3.985,0,0.048,0.047,0.048,0.095,0,4.163,4.165,4.163,8.328,0,0.099,0.099,0.099,0.198,0,2.242,1.652,2.242,3.894,0,0.053,0.039,0.053,0.093,0,0.221,0.163,0.221,0.384,0,4.284,3.213,4.284,7.497,0,0.102,0.076,0.102,0.178,0,0.423,0.317,0.423,0.74,0,2.093,2.037,2.093,4.131,0,0.05,0.049,0.05,0.098,0,2.423,1.785,2.423,4.209,0,0.058,0.043,0.058,0.1,0,0.239,0.176,0.239,0.416,26.923
Butrus Ghafari,2,LD,L,5'10,194,19.2,2014,Bloomington Thunder,56,1,9,4,10,14,53,1.887,10,45,0,0,0,0.018,0.161,0.071,0.179,0.25,0.946,4,0.071,0,7,2,7,9,0,0.125,0.036,0.125,0.161,2.5,0.045,41,34,54.667,105,106,7.608,15.647,0,0.479,0.137,0.479,0.616,0.171,1,2,2,3,5,0.018,0.036,0.036,0.054,0.089,1.5,0.027,0.699,6.396,2.808,7.095,9.902,0.012,0.114,0.05,0.127,0.177,1.039,9.385,4.165,10.424,14.589,0.019,0.168,0.074,0.186,0.261,0,5.2,1.474,5.2,6.674,0,0.093,0.026,0.093,0.119,0,0.356,0.101,0.356,0.457,0,7.51,2.141,7.51,9.651,0,0.134,0.038,0.134,0.172,0,0.514,0.147,0.514,0.661,0.725,6.655,2.92,7.38,10.3,0.013,0.119,0.052,0.132,0.184,0,5.601,1.584,5.601,7.186,0,0.1,0.028,0.1,0.128,0,0.384,0.108,0.384,0.492,21.951
Noah Delmas,4,RD,R,5'11,179,19.381,2014,Bloomington Thunder,17,1,1,0,2,2,11,9.091,-5,0,0,0,0,0.059,0.059,0,0.118,0.118,0.647,0.8,0.047,1,0,0,1,1,0.059,0,0,0.059,0.059,0.5,0.029,3,8,27.273,25,33,-19.536,10.7,0.33,0,0,0.33,0.33,0.165,0,1,0,1,1,0,0.059,0,0.059,0.059,0.3,0.018,0.667,0.68,0,1.347,1.347,0.039,0.04,0,0.079,0.079,1.039,1.039,0,2.078,2.078,0.061,0.061,0,0.122,0.122,0.704,0,0,0.704,0.704,0.041,0,0,0.041,0.041,0.232,0,0,0.232,0.232,1.069,0,0,1.069,1.069,0.063,0,0,0.063,0.063,0.353,0,0,0.353,0.353,0.692,0.705,0,1.396,1.396,0.041,0.041,0,0.082,0.082,0.755,0,0,0.755,0.755,0.044,0,0,0.044,0.044,0.249,0,0,0.249,0.249,33.333
Vladislav Dzhioshvili,15,C,L,6'00,189,17.69,2016,Bloomington Thunder,50,8,9,4,17,21,71,11.268,7,22,0,0,0,0.16,0.18,0.08,0.34,0.42,1.42,8.6,0.172,8,9,3,17,20,0.16,0.18,0.06,0.34,0.4,8.4,0.168,26,19,57.778,96,99,11.111,11.808,0.813,0.915,0.305,1.728,2.033,0.854,0,0,1,0,1,0,0,0.02,0,0.02,0.2,0.004,7.731,8.709,3.867,16.44,20.307,0.155,0.174,0.077,0.329,0.406,8.337,9.385,4.165,17.722,21.887,0.167,0.188,0.083,0.354,0.438,7.761,8.741,2.912,16.502,19.414,0.155,0.175,0.058,0.33,0.388,0.789,0.888,0.296,1.677,1.973,8.584,9.666,3.213,18.25,21.463,0.172,0.193,0.064,0.365,0.429,0.872,0.982,0.327,1.854,2.181,8.056,9.08,4.026,17.136,21.161,0.161,0.182,0.081,0.343,0.423,8.33,9.391,3.12,17.721,20.841,0.167,0.188,0.062,0.354,0.417,0.847,0.954,0.317,1.801,2.118,76.923
Patrick Curry,19,LW,L,5'11,184,19.682,2014,Bloomington Thunder,57,17,10,5,27,32,136,12.5,-10,74,0,0,0,0.298,0.175,0.088,0.474,0.561,2.386,12.9,0.226,7,8,3,15,18,0.123,0.14,0.053,0.263,0.316,6.9,0.121,32,40,44.444,106,108,-7.669,15.069,0.489,0.559,0.21,1.048,1.257,0.482,10,2,2,12,14,0.175,0.035,0.035,0.211,0.246,6,0.105,10.435,6.286,3.087,16.721,19.808,0.183,0.11,0.054,0.293,0.348,17.775,10.432,5.209,28.207,33.416,0.312,0.183,0.091,0.495,0.586,4.595,5.359,1.988,9.954,11.942,0.081,0.094,0.035,0.175,0.21,0.321,0.374,0.139,0.695,0.834,7.508,8.587,3.213,16.095,19.308,0.132,0.151,0.056,0.282,0.339,0.524,0.6,0.224,1.124,1.348,10.887,6.536,3.21,17.424,20.634,0.191,0.115,0.056,0.306,0.362,4.952,5.786,2.141,10.738,12.878,0.087,0.102,0.038,0.188,0.226,0.346,0.404,0.15,0.75,0.9,56.25
Jeremy Davies,9,LD,L,5'11,180,18.781,2015,Bloomington Thunder,57,13,22,13,35,48,168,7.738,-8,46,0,0,0,0.228,0.386,0.228,0.614,0.842,2.947,17.3,0.304,9,4,7,13,20,0.158,0.07,0.123,0.228,0.351,8.2,0.144,38,45,45.783,106,108,-6.125,16.621,0.57,0.253,0.443,0.823,1.267,0.519,3,18,6,21,27,0.053,0.316,0.105,0.368,0.474,8.1,0.142,10.053,17.203,10.08,27.256,37.336,0.176,0.302,0.177,0.478,0.655,13.573,23.061,13.6,36.634,50.234,0.238,0.405,0.239,0.643,0.881,7.185,3.225,5.614,10.409,16.023,0.126,0.057,0.098,0.183,0.281,0.455,0.204,0.356,0.659,1.015,9.662,4.284,7.521,13.946,21.467,0.17,0.075,0.132,0.245,0.377,0.612,0.271,0.476,0.883,1.359,10.485,18.005,10.536,28.491,39.027,0.184,0.316,0.185,0.5,0.685,7.731,3.464,6.047,11.194,17.242,0.136,0.061,0.106,0.196,0.302,0.49,0.219,0.383,0.709,1.092,52.632
Matt Miller,50,LD,L,6'01,200,20.066,2013,Youngstown Phantoms,52,7,2,4,9,13,66,10.606,-1,41,0,0,0,0.135,0.038,0.077,0.173,0.25,1.269,5.6,0.108,5,2,3,7,10,0.096,0.038,0.058,0.135,0.192,3.9,0.075,39,45,46.429,113,108,-7.586,16.552,0.349,0.139,0.209,0.488,0.697,0.272,0,0,0,0,0,0,0,0,0,0,0,0,3.821,1.126,2.2,4.948,7.148,0.073,0.022,0.042,0.095,0.137,7.292,2.08,4.165,9.372,13.537,0.14,0.04,0.08,0.18,0.26,2.98,1.224,1.81,4.203,6.013,0.057,0.024,0.035,0.081,0.116,0.208,0.085,0.126,0.293,0.419,5.357,2.14,3.213,7.497,10.71,0.103,0.041,0.062,0.144,0.206,0.373,0.149,0.224,0.522,0.746,3.969,1.167,2.286,5.136,7.421,0.076,0.022,0.044,0.099,0.143,3.212,1.319,1.952,4.531,6.483,0.062,0.025,0.038,0.087,0.125,0.224,0.092,0.136,0.316,0.452,25.641
Grant Meyer,23,RW,R,5'08,183,19.488,2014,Fargo Force,50,9,2,8,11,19,81,11.111,-1,70,0,0,0,0.18,0.04,0.16,0.22,0.38,1.62,7.4,0.148,5,1,6,6,12,0.1,0.02,0.12,0.12,0.24,4.2,0.084,19,18,51.351,102,77,-7.1,11.063,0.542,0.108,0.651,0.651,1.302,0.456,3,1,2,4,6,0.06,0.02,0.04,0.08,0.12,2.2,0.044,5.834,1.323,5.212,7.157,12.368,0.117,0.026,0.104,0.143,0.247,9.383,2.08,8.347,11.463,19.81,0.188,0.042,0.167,0.229,0.396,3.435,0.699,4.156,4.134,8.29,0.069,0.014,0.083,0.083,0.166,0.373,0.076,0.451,0.448,0.899,5.357,1.069,6.442,6.426,12.868,0.107,0.021,0.129,0.129,0.257,0.581,0.116,0.699,0.697,1.396,6.07,1.372,5.429,7.443,12.872,0.121,0.027,0.109,0.149,0.257,3.695,0.751,4.483,4.447,8.93,0.074,0.015,0.09,0.089,0.179,0.401,0.081,0.486,0.482,0.969,63.158
Patrick Kramer,25,C,L,6'00,180,18.529,2015,Youngstown Phantoms,44,4,5,5,9,14,38,10.526,9,14,0,0,0,0.091,0.114,0.114,0.205,0.318,0.864,4.5,0.102,4,4,4,8,12,0.091,0.091,0.091,0.182,0.273,4,0.091,23,16,58.974,104,80,3.112,11.242,0.485,0.485,0.485,0.97,1.456,0.485,0,0,0,0,0,0,0,0,0,0,0,0,3.272,4.124,4.098,7.396,11.494,0.074,0.094,0.093,0.168,0.261,4.162,5.206,5.209,9.368,14.577,0.095,0.118,0.118,0.213,0.331,3.352,3.377,3.364,6.729,10.093,0.076,0.077,0.076,0.153,0.229,0.407,0.41,0.408,0.816,1.224,4.284,4.284,4.288,8.568,12.856,0.097,0.097,0.097,0.195,0.292,0.52,0.52,0.52,1.04,1.56,3.401,4.289,4.266,7.691,11.957,0.077,0.097,0.097,0.175,0.272,3.596,3.625,3.613,7.221,10.834,0.082,0.082,0.082,0.164,0.246,0.436,0.44,0.438,0.876,1.314,52.174
